Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,Team
Claudia Dickey,us USA,GK,25-247,19.0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,9,0,Matches,Seattle Reign FC
Phoebe McClernon,us USA,DF,27-271,17.9,26,21,16,9,1,18,22,81.8,4,21,15,6,25,51,114,2,Matches,Seattle Reign FC
Jordyn Bugg,us USA,DF,19-030,16.9,31,18,20,8,3,13,20,65.0,7,14,5,9,26,57,99,2,Matches,Seattle Reign FC
Madison Curry,us USA,DF,24-230,16.5,47,29,24,18,5,20,42,47.6,22,23,6,17,34,81,61,0,Matches,Seattle Reign FC
Madeline Dahlien,us USA,"DF,FW",21-047,15.6,32,21,10,15,7,18,33,54.5,15,14,1,13,7,39,15,0,Matches,Seattle Reign FC
Samantha Meza,us USA,MF,23-307,14.8,78,48,34,40,4,32,61,52.5,29,38,12,26,25,103,29,1,Matches,Seattle Reign FC
Jordyn Huitema,ca CAN,"FW,MF",24-125,12.0,7,4,1,5,1,3,10,30.0,7,9,5,4,8,15,19,0,Matches,Seattle Reign FC
Lauren Barnes,us USA,DF,36-102,11.2,15,8,9,4,2,9,20,45.0,11,9,2,7,10,25,46,0,Matches,Seattle Reign FC
Angharad James,wls WAL,MF,31-101,9.4,30,22,11,18,1,17,31,54.8,14,14,4,10,6,36,10,0,Matches,Seattle Reign FC
Emeri Adames,us USA,"MF,FW",19-160,9.1,6,4,2,3,1,1,12,8.3,11,6,0,6,2,8,5,0,Matches,Seattle Reign FC
Ji So-yun,kr KOR,"MF,FW",34-201,8.3,14,6,6,5,3,6,7,85.7,1,10,2,8,4,18,5,0,Matches,Seattle Reign FC
Shae Holmes,us USA,DF,25-186,9.3,12,6,7,4,1,4,8,50.0,4,10,3,7,10,22,53,0,Matches,Seattle Reign FC
Lynn Biyendolo,us USA,"FW,MF",32-112,8.8,10,6,0,3,7,2,6,33.3,4,9,2,7,1,11,9,0,Matches,Seattle Reign FC
Sally Menti,us USA,MF,23-184,7.3,17,12,5,12,0,11,16,68.8,5,7,1,6,6,23,14,2,Matches,Seattle Reign FC
Jess Fishlock,wls WAL,"MF,FW",38-239,6.4,13,7,4,6,3,0,5,0.0,5,4,0,4,7,20,8,0,Matches,Seattle Reign FC
Sofia Huerta,us USA,DF,32-270,6.0,10,5,9,1,0,7,10,70.0,3,7,3,4,3,13,22,1,Matches,Seattle Reign FC
Nérilia Mondésir,ht HAI,"FW,MF",26-236,5.6,6,4,2,4,0,2,5,40.0,3,4,0,4,3,9,2,0,Matches,Seattle Reign FC
Ana-Maria Crnogorčević,ch SUI,"FW,MF",34-342,4.1,5,4,0,4,1,2,4,50.0,2,3,0,3,2,7,5,0,Matches,Seattle Reign FC
Maddie Mercado,us USA,"FW,MF",24-162,3.9,4,2,3,1,0,1,6,16.7,5,3,0,3,5,9,7,0,Matches,Seattle Reign FC
Ainsley Mccammon,us USA,MF,18-025,3.1,12,4,4,5,3,8,11,72.7,3,7,2,5,4,16,6,0,Matches,Seattle Reign FC
Emily Mason,us USA,DF,22-322,2.8,8,3,6,1,1,5,7,71.4,2,5,4,1,9,17,17,0,Matches,Seattle Reign FC
Mia Fishel,us USA,"MF,DF",24-133,0.8,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches,Seattle Reign FC
Olivia Van der Jagt,us USA,MF,26-051,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,Seattle Reign FC
Hanna Glas,se SWE,FW,32-147,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Seattle Reign FC
Squad Total,,,26.4,19.0,385,236,174,166,45,179,337,53.1,158,217,67,150,197,582,557,8,,Seattle Reign FC
Opponent Total,,,27.0,19.0,323,204,134,137,52,150,244,61.5,94,197,43,154,160,483,424,7,,Seattle Reign FC
Sam Coffey,us USA,MF,26-253,17.7,48,32,15,21,12,16,29,55.2,13,26,7,19,22,70,35,0,Matches,Portland Thorns
