Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Playing Time_MP
Claudia Dickey,us USA,GK,25-296,25.0,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Seattle Reign FC,
Phoebe McClernon,us USA,DF,27-320,24.0,23,2076.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.3,5.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Seattle Reign FC,
Jordyn Bugg,us USA,DF,19-079,24.0,23,2059.0,22.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.4,0.4,0.5,0.9,18.0,69.0,7.0,0.09,0.0,0.09,0.09,0.09,0.02,0.02,0.04,0.02,0.04,Matches,Seattle Reign FC,
Madison Curry,us USA,DF,24-279,25.0,23,1995.0,22.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.4,1.9,35.0,66.0,93.0,0.0,0.05,0.05,0.0,0.05,0.02,0.07,0.09,0.02,0.09,Matches,Seattle Reign FC,
Madeline Dahlien,us USA,"DF,FW",21-096,25.0,21,1817.0,20.2,4.0,4.0,8.0,4.0,0.0,0.0,3.0,0.0,3.5,3.5,1.9,5.5,57.0,31.0,147.0,0.2,0.2,0.4,0.2,0.4,0.18,0.1,0.27,0.18,0.27,Matches,Seattle Reign FC,
Samantha Meza,us USA,MF,23-356,25.0,20,1864.0,20.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.4,1.8,17.0,61.0,20.0,0.0,0.05,0.05,0.0,0.05,0.02,0.07,0.09,0.02,0.09,Matches,Seattle Reign FC,
Jordyn Huitema,ca CAN,FW,24-174,21.0,18,1495.0,16.6,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,3.5,3.5,1.6,5.1,12.0,37.0,74.0,0.18,0.12,0.3,0.18,0.3,0.21,0.09,0.31,0.21,0.31,Matches,Seattle Reign FC,
Lauren Barnes,us USA,DF,36-151,19.0,15,1230.0,13.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.9,0.9,9.0,60.0,6.0,0.0,0.07,0.07,0.0,0.07,0.0,0.07,0.07,0.0,0.07,Matches,Seattle Reign FC,
Sofia Huerta,us USA,DF,32-319,12.0,12,1080.0,12.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.1,0.4,1.1,1.5,12.0,40.0,24.0,0.08,0.08,0.17,0.0,0.08,0.09,0.09,0.19,0.03,0.13,Matches,Seattle Reign FC,
Emeri Adames,us USA,"MF,FW",19-209,20.0,11,989.0,11.0,6.0,0.0,6.0,5.0,1.0,1.0,0.0,0.0,4.1,3.4,0.9,4.3,24.0,24.0,62.0,0.55,0.0,0.55,0.46,0.46,0.37,0.08,0.45,0.31,0.39,Matches,Seattle Reign FC,
Nérilia Mondésir,ht HAI,"MF,FW",26-285,19.0,11,978.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.2,1.2,0.7,1.9,28.0,26.0,56.0,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.17,0.11,0.17,Matches,Seattle Reign FC,
Angharad James,wls WAL,MF,31-150,14.0,11,892.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,0.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,Matches,Seattle Reign FC,
Sally Menti,us USA,MF,23-233,14.0,10,927.0,10.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,0.5,1.7,9.0,38.0,19.0,0.1,0.1,0.19,0.1,0.19,0.11,0.05,0.16,0.11,0.16,Matches,Seattle Reign FC,
Ji So-yun,kr KOR,"MF,FW",34-250,13.0,9,748.0,8.3,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.5,0.8,1.8,2.6,14.0,54.0,36.0,0.24,0.24,0.48,0.12,0.36,0.18,0.22,0.4,0.09,0.31,Matches,Seattle Reign FC,
Shae Holmes,us USA,DF,25-235,16.0,8,835.0,9.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,2.0,23.0,15.0,0.11,0.0,0.11,0.11,0.11,0.03,0.01,0.04,0.03,0.04,Matches,Seattle Reign FC,
Lynn Biyendolo,us USA,"FW,MF",32-161,13.0,7,794.0,8.8,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,0.8,2.3,6.0,23.0,45.0,0.23,0.11,0.34,0.23,0.34,0.17,0.09,0.26,0.17,0.26,Matches,Seattle Reign FC,
Jess Fishlock,wls WAL,"MF,FW",38-288,16.0,7,747.0,8.3,6.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,2.7,2.7,1.3,4.0,7.0,36.0,37.0,0.72,0.24,0.96,0.72,0.96,0.32,0.15,0.48,0.32,0.48,Matches,Seattle Reign FC,
Ainsley Mccammon,us USA,MF,18-074,15.0,6,534.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,1.0,33.0,10.0,0.17,0.0,0.17,0.17,0.17,0.13,0.04,0.17,0.13,0.17,Matches,Seattle Reign FC,
Maddie Mercado,us USA,"FW,MF",24-211,13.0,5,472.0,5.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.5,1.4,7.0,14.0,32.0,0.0,0.19,0.19,0.0,0.19,0.17,0.1,0.26,0.17,0.26,Matches,Seattle Reign FC,
Ana-Maria Crnogorčević,ch SUI,"FW,MF",35-026,12.0,5,391.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.8,8.0,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.19,0.15,0.19,Matches,Seattle Reign FC,
Mia Fishel,us USA,"MF,FW",24-182,10.0,3,295.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,4.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.16,0.08,0.24,0.16,0.24,Matches,Seattle Reign FC,
Emily Mason,us USA,DF,23-006,12.0,2,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Seattle Reign FC,
Olivia Van der Jagt,us USA,MF,26-100,3.0,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Seattle Reign FC,
Hanna Glas,se SWE,FW,32-196,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Seattle Reign FC,
